CP,msg
consumer,"{index: 47, value: .\..\..\.git\objects\63\a5cdbff0182441ad329ef30fd1d2d519279177}"
productor,"{index: 48, value: .\..\..\.git\objects\64\3c6f58c9bc67a142860b9819fccd5787f9d389}"
consumer,"{index: 48, value: .\..\..\.git\objects\64\3c6f58c9bc67a142860b9819fccd5787f9d389}"
productor,"{index: 48, value: .\..\..\.git\objects\64\e7e2040d0234455c03a00bb3399e31c103b372}"
consumer,"{index: 48, value: .\..\..\.git\objects\64\e7e2040d0234455c03a00bb3399e31c103b372}"
productor,"{index: 49, value: .\..\..\.git\objects\66\90f259c7e8368a3abe603ea8b76cb5c016caac}"
consumer,"{index: 49, value: .\..\..\.git\objects\66\90f259c7e8368a3abe603ea8b76cb5c016caac}"
productor,"{index: 50, value: .\..\..\.git\objects\67\2b74313cb1ba168e4585319ab0194be65877ba}"
consumer,"{index: 50, value: .\..\..\.git\objects\67\2b74313cb1ba168e4585319ab0194be65877ba}"
productor,"{index: 50, value: .\..\..\.git\objects\67\5a6e1063245a2d83ed8ac71809a33283a66817}"
consumer,"{index: 50, value: .\..\..\.git\objects\67\5a6e1063245a2d83ed8ac71809a33283a66817}"
productor,"{index: 51, value: .\..\..\.git\objects\68\37353c6957a2590b1ba177f30dbb9bf971e09c}"
consumer,"{index: 51, value: .\..\..\.git\objects\68\37353c6957a2590b1ba177f30dbb9bf971e09c}"
productor,"{index: 52, value: .\..\..\.git\objects\6a\38783bb8a368bdcba702910ed85a174a79ae77}"
consumer,"{index: 52, value: .\..\..\.git\objects\6a\38783bb8a368bdcba702910ed85a174a79ae77}"
productor,"{index: 53, value: .\..\..\.git\objects\70\00ad32b2d5614b989beffbff7ac9f34a9d6c02}"
consumer,"{index: 53, value: .\..\..\.git\objects\70\00ad32b2d5614b989beffbff7ac9f34a9d6c02}"
productor,"{index: 53, value: .\..\..\.git\objects\70\aaf141816891bd137e85734a5cbcef03a28673}"
consumer,"{index: 53, value: .\..\..\.git\objects\70\aaf141816891bd137e85734a5cbcef03a28673}"
productor,"{index: 54, value: .\..\..\.git\objects\71\dc6d0d4036a762c5ede41b346482f0a1a3c4e2}"
consumer,"{index: 54, value: .\..\..\.git\objects\71\dc6d0d4036a762c5ede41b346482f0a1a3c4e2}"
productor,"{index: 55, value: .\..\..\.git\objects\75\867d442ed3f08acb77fbe421e14479e40bf019}"
consumer,"{index: 55, value: .\..\..\.git\objects\75\867d442ed3f08acb77fbe421e14479e40bf019}"
